Altitud,Presion,Temperatura,Velocidad,Aceleracion,Tiempo,AclX,AclY,AclZ,GiroX,GiroY,GiroZ,Lat,Long,Altgps,AltMAX
2115.338,783.6638,23.27481,9.711804,1.224077e-05,793398,-0.02758789,0.02685547,0.9899902,2.931298,-0.8015267,-0.2061069,2008.07869,09822.97779,2124.6,2127.5
2115.661,783.6322,23.26992,9.699829,1.220368e-05,794828,-0.02685547,0.02612305,0.9887695,2.580153,-0.5725191,-0.2900764,2008.07857,09822.97770,2124.2,2127.5
2115.373,783.6602,23.32832,9.74773,1.222412e-05,797418,-0.02807617,0.02270508,0.9936523,2.664122,-0.389313,-0.06870229,2008.07842,09822.97773,2123.9,2127.5
2115.307,783.6668,23.3332,9.69504,1.213628e-05,798848,-0.02148438,0.02294922,0.9882813,2.854962,-0.7175572,-0.1832061,2008.07790,09822.97748,2123.5,2127.5
2115.994,783.5999,23.5082,9.666299,1.179654e-05,819418,-0.0222168,0.02416992,0.9853516,2.740458,-0.3129771,-0.01526718,2008.07723,09822.97661,2125.3,2
2116.305,783.5694,23.52285,9.78605,1.192188e-05,820848,-0.02514648,0.02368164,0.9975586,2.793893,-0.5038168,-0.1068702,2008.07723,09822.97661,2125.3,2127.5
2116.041,783.5952,23.54219,9.74773,1.183828e-05,823408,-0.02392578,0.02441406,0.9936523,2.572519,-0.519084,-0.1984733,2008.07780,09822.97703,2128.8,2127.5
2116.078,783.5915,23.5957,9.678274,1.169696e-05,827418,-0.02319336,0.02441406,0.9865723,2.694656,-0.4656488,0.06870229,2008.07755,09822.97689,2131.4,2127.5
2115.888,783.6101,23.59082,9.683064,1.168256e-05,828848,-0.02319336,0.03173828,0.9870605,3.015267,-0.8167939,0.03053435,2008.07693,09822.97748,2121.7,2127.5
2116.345,783.5656,23.70762,9.692644,1.143853e-05,847368,-0.0234375,0.02490234,0.9880371,2.625954,-0.6717557,-0.2213741,2008.07535,09822.97605,2123.0,2127.
2116.697,783.5311,23.64434,9.64714,1.126636e-05,856278,-0.02612305,0.02661133,0.9833984,2.603053,-0.3282443,-0.1145038,2008.07498,09822.97673,2124.4,2127.5
2116.496,783.5508,23.65899,9.7621,1.136267e-05,859138,-0.02148438,0.02124023,0.9951172,2.664122,-0.648855,-0.2519084,2008.07498,09822.97673,2124.4,2127.5
2116.361,783.5638,23.66875,9.651929,1.12159e-05,860558,-0.02319336,0.02319336,0.9838867,2.816794,-0.6259542,-0.03816794,2008.07620,09822.97728,2127.7,2127.5
